ticker,name,period,total_assets,total_equity,stockholders_equity,retained_earnings,short_term_debt,long_term_debt,bps,equity_ratio,revenue,operating_income,ordinary_income,net_income,basic_eps,roe,roa,operating_cf,investing_cf,financing_cf,capex,cash_equivalents,operating_cf_margin,dps,dividend_payment,buyback,payout_ratio,total_return_ratio,doe,price,shares_outstanding,market_cap,per,pbr,dividend_yield,total_liabilities,interest_bearing_debt,net_cash,net_cash_ratio
1435,,2025-12,15925000000.0,11167000000.0,11108533000.0,3938065000.0,341600000.0,525309000.0,124.2,70.1,24068000000.0,1766000000.0,1787000000.0,1989528000.0,22.13,17.82,12.49,1849156000.0,-663767000.0,-181750000.0,-813823000.0,7505020000.0,7.68,2.0,179768000.0,15000.0,9.0,9.0,1.8,,89440684,,,,,4758000000.0,866909000.0,2747020000.0,
1436,,2025-04,13557474000.0,5302794000.0,5293129000.0,3498807000.0,1433400000.0,2968335000.0,1286.81,39.0,11616630000.0,543537000.0,408098000.0,275507000.0,67.23,5.2,2.03,-961122000.0,-663572000.0,1032649000.0,-149743000.0,911167000.0,-8.27,13.0,48909000.0,142000.0,19.3,19.4,1.0,,4113372,,,,,8254680000.0,4401735000.0,-7343513000.0,
1438,,2025-09,5776333000.0,4144481000.0,4045639000.0,3278956000.0,200000000.0,25272000.0,1277.24,71.7,6271357000.0,538282000.0,549108000.0,384527000.0,118.6,9.28,6.66,317228000.0,-3296000.0,-80150000.0,-33505000.0,2618800000.0,5.06,36.0,106993000.0,,30.4,30.4,2.9,,3167485,,,,,1631852000.0,225272000.0,986948000.0,
1439,,2024-12,5502000000.0,2588000000.0,2515200000.0,1410496000.0,80000000.0,713625000.0,1486.1,45.7,8082000000.0,340000000.0,327000000.0,202000000.0,146.51,8.03,3.67,625000000.0,-172000000.0,281000000.0,-147706000.0,1970386000.0,7.73,,52917000.0,74000.0,0.0,0.0,0.0,,1692483,,,,,2914000000.0,793625000.0,-943614000.0,
143A,,2025-03,2177446000.0,1658230000.0,1170004000.0,849999000.0,,,626.59,55.2,1393451000.0,245115000.0,211585000.0,177147000.0,92.67,14.75,8.14,102216000.0,-89280000.0,63580000.0,-600000.0,1399156000.0,7.34,,,,,,,,1867256,,,,,519216000.0,,879940000.0,
1443,,2025-03,16164939000.0,10916029000.0,10584448000.0,7991477000.0,,2766632000.0,672.4,67.5,4906441000.0,623986000.0,770182000.0,491949000.0,30.3,4.51,3.04,358360000.0,-286741000.0,-532526000.0,-32747000.0,1364173000.0,7.3,1.1,16234000.0,28000.0,3.6,3.6,0.2,,15741296,,,,,5248910000.0,2766632000.0,-3884737000.0,
1444,,2025-07,3457320000.0,1703731000.0,1709829000.0,1111051000.0,661000000.0,292934000.0,1564.92,49.3,5279959000.0,72700000.0,69571000.0,202686000.0,186.17,11.9,5.86,-59576000.0,570099000.0,32681000.0,-29264000.0,1878851000.0,-1.13,,,190000.0,,0.1,,,1092598,,,,,1753589000.0,953934000.0,125262000.0,
1446,,2025-09,6282008000.0,2961801000.0,2972385000.0,869970000.0,850000000.0,250000000.0,319.72,47.1,13860556000.0,420645000.0,417480000.0,196374000.0,21.23,6.63,3.13,418644000.0,-92465000.0,-315636000.0,-52794000.0,1626858000.0,3.02,8.0,36907000.0,,37.7,37.7,2.6,,9296837,,,,,3320207000.0,1100000000.0,-1693349000.0,
1447,,2025-03,16998056000.0,2843379000.0,2684246000.0,23209000.0,4530000000.0,3865174000.0,108.38,15.6,28855658000.0,333999000.0,142814000.0,-129176000.0,-5.28,-4.812375616839888,-0.7599457255582639,305192000.0,-1647104000.0,-405012000.0,-671386000.0,3044362000.0,1.06,,,123000.0,,,,,24766986,,,,,14154677000.0,8395174000.0,-11110315000.0,
1448,,2021-03,79175000000.0,25895000000.0,22081000000.0,13687000000.0,9144000000.0,10460000000.0,730.19,32.6,77510000000.0,14000000.0,732000000.0,329000000.0,9.36,1.27,0.42,3768000000.0,-465000000.0,-882000000.0,-2187000000.0,6564000000.0,4.86,15.0,529000000.0,,160.3,160.3,2.1,,30240074,,,,,53280000000.0,19604000000.0,-46716000000.0,
1449,,2025-12,654000000.0,368000000.0,368768000.0,282920000.0,,123160000.0,173.13,56.4,989000000.0,-67000000.0,-68000000.0,107000000.0,50.23,29.02,16.36,-61812000.0,292123000.0,-165511000.0,-5074000.0,185781000.0,-6.25,3.0,,,,,2.0,,2130006,,,,,286000000.0,123160000.0,-100219000.0,
1450,,2025-03,11383251000.0,8223073000.0,8136797000.0,7591352000.0,,,945.32,72.2,12286088000.0,2328352000.0,2341718000.0,1576283000.0,181.21,19.17,13.85,2141625000.0,-78287000.0,-348442000.0,-38928000.0,3935515000.0,17.43,55.0,347956000.0,179000.0,30.4,30.4,6.3,,8607452,,,,,3160178000.0,,775337000.0,
1451,,2024-03,15025464000.0,6395081000.0,6394726000.0,4937079000.0,200000000.0,3086267000.0,1601.84,42.6,10062575000.0,574626000.0,532281000.0,355661000.0,89.17,5.56,2.37,1245953000.0,-170202000.0,-1357964000.0,-150000000.0,4041064000.0,12.38,35.0,131469000.0,,39.3,39.3,2.2,,3992112,,,,,8630383000.0,3286267000.0,-4589319000.0,
145A,,2025-12,3425000000.0,1847000000.0,1847874000.0,-785529000.0,30000000.0,1065938000.0,360.57,53.9,2132000000.0,169000000.0,147000000.0,138000000.0,26.93,7.47,4.03,178000000.0,-1079000000.0,443000000.0,-26975000.0,1413785000.0,8.35,,,,,,,,5124868,,,,,1578000000.0,1095938000.0,-164215000.0,
146A,,2025-12,66877000000.0,17439000000.0,17418000000.0,12110000000.0,9928000000.0,26456000000.0,2259.16,26.1,37084000000.0,6028000000.0,5123000000.0,3464000000.0,496.48,19.87,5.18,-4318000000.0,-1706000000.0,9637000000.0,-1447000000.0,7855000000.0,-11.64,78.0,399000000.0,,,,4.1,,7709945,,,,,49438000000.0,36384000000.0,-41583000000.0,
147A,,2025-03,13403349000.0,10355020000.0,9878888000.0,855057000.0,,687505000.0,222.78,75.0,8993031000.0,656539000.0,619617000.0,352716000.0,7.84,3.51,2.63,-728673000.0,-474993000.0,2451930000.0,-324018000.0,8917773000.0,-8.1,,,42000.0,,0.0,,,44343693,,,,,3048329000.0,687505000.0,5869444000.0,
1480,,2019-10,7667003465.0,7581563649.0,,,,,,,173009422.0,161187807.0,161187807.0,161187807.0,,,2.1,,,,,,,,,,,,,,,,,,,85439816.0,,,
148A,,2025-12,2884000000.0,1027000000.0,1026761000.0,377890000.0,81982000.0,95670000.0,535.59,35.6,2759000000.0,242000000.0,260000000.0,246000000.0,128.55,23.94,8.53,295080000.0,-167470000.0,-80745000.0,-28759000.0,1391041000.0,10.7,,,,,,,,1917065,,,,,1857000000.0,177652000.0,-465959000.0,
1491,,2025-03,16525875000.0,8182188000.0,8182188000.0,2014850000.0,1500000000.0,1177532000.0,567.8,49.5,162345165000.0,1417791000.0,1238300000.0,1218720000.0,84.57,14.89,7.37,840310000.0,-543300000.0,564235000.0,-88504000.0,4141237000.0,0.52,30.0,144107000.0,70000.0,35.5,35.5,5.3,,14410334,,,,,8343687000.0,2677532000.0,-4202450000.0,
149A,,2025-12,1279000000.0,1047000000.0,1047466000.0,-60657000.0,60000000.0,,326.69,81.9,1464000000.0,60000000.0,62000000.0,42000000.0,13.18,4.01,3.28,79000000.0,-63000000.0,-3000000.0,-48450000.0,984502000.0,5.4,,,,,,,,3206299,,,,,232000000.0,60000000.0,752502000.0,
150A,,2025-03,2982602000.0,2038513000.0,2038223000.0,-287957000.0,176000000.0,91315000.0,362.46,68.3,3967006000.0,176278000.0,185154000.0,144153000.0,25.67,7.07,4.83,137604000.0,-691273000.0,167650000.0,-793881000.0,810824000.0,3.47,,,,,,,,5623304,,,,,944089000.0,267315000.0,-133265000.0,
1514,,2025-03,29047000000.0,28024000000.0,27273000000.0,25254000000.0,,,468.76,96.5,10264000000.0,48000000.0,4711000000.0,4195000000.0,76.76,14.97,14.44,26000000.0,-216000000.0,-3174000000.0,-209000000.0,15351000000.0,0.25,30.0,3101000000.0,,42.8,42.8,6.4,994.0,58181158,57832071052.0,12.949452840020843,2.0636622556380244,3.0181086519114686,1023000000.0,,14328000000.0,0.24775180517254702
1515,,2025-03,240179000000.0,151971000000.0,117376000000.0,115864000000.0,12615000000.0,9771000000.0,1798.34,58.9,196766000000.0,10257000000.0,11437000000.0,9019000000.0,109.34,6.37,3.76,17713000000.0,-12259000000.0,-6477000000.0,-21272000000.0,37789000000.0,9.0,44.8,2914000000.0,4737000000.0,41.0,93.5,2.6,2618.0,65269081,170874454058.0,23.943661971830984,1.124388561357101,1.7112299465240641,88208000000.0,22386000000.0,-50419000000.0,-0.29506458573899086
1518,,2025-03,117627000000.0,65481000000.0,62060000000.0,59875000000.0,28707000000.0,3056000000.0,1165.08,55.5,60574000000.0,7615000000.0,8448000000.0,8645000000.0,150.01,13.23,7.35,4574000000.0,-11917000000.0,-10206000000.0,-1475000000.0,8973000000.0,7.55,26.0,1306000000.0,3254000000.0,17.3,54.9,2.3,1363.0,53266728,72602550264.0,9.086060929271383,1.1087575062079076,1.9075568598679384,52146000000.0,31763000000.0,-43173000000.0,-0.5946485329098329
151A,,2025-06,4439368000.0,2272297000.0,2272297000.0,1728779000.0,131668000.0,207304000.0,271.03,51.2,13781848000.0,755966000.0,769087000.0,454620000.0,54.11,20.01,10.24,268439000.0,-210495000.0,-30446000.0,-289676000.0,2065504000.0,1.95,,,100075000.0,,22.0,,,8383931,,,,,2167071000.0,338972000.0,-101567000.0,
153A,,2025-12,2182000000.0,1656000000.0,1661073000.0,949398000.0,,,253.76,75.9,1400000000.0,408000000.0,409000000.0,276000000.0,42.83,16.66,12.65,208000000.0,-373000000.0,-81000000.0,-68625000.0,1487072000.0,14.86,4.8,,,11.1,,2.0,,6545842,,,,,526000000.0,,961072000.0,
155A,,2025-12,4072000000.0,1739000000.0,1739601000.0,1240973000.0,,893570000.0,169.9,42.7,8019000000.0,553000000.0,532000000.0,304000000.0,29.53,17.48,7.47,416000000.0,-1191000000.0,625000000.0,-15600000.0,1667756000.0,5.19,,,376731000.0,,123.9,,,10238969,,,,,2333000000.0,893570000.0,-665244000.0,
156A,,2025-08,3896486000.0,2212450000.0,2157072000.0,1903950000.0,115000000.0,48266000.0,223.94,55.4,6288325000.0,832543000.0,753913000.0,468946000.0,48.32,21.74,12.04,694251000.0,-58325000.0,-497267000.0,-51565000.0,1261264000.0,11.04,26.0,244020000.0,190434000.0,53.4,94.0,11.3,,9632365,,,,,1684036000.0,163266000.0,-422772000.0,
157A,,2025-06,1821541000.0,1430970000.0,1430790000.0,903445000.0,,40786000.0,456.71,78.5,2006859000.0,123675000.0,125961000.0,32652000.0,10.37,2.28,1.79,-6909000.0,-215376000.0,-82640000.0,-28515000.0,1185144000.0,-0.34,10.0,31900000.0,46574000.0,96.4,239.0,2.2,1080.0,3132819,3383444520.0,104.14657666345228,2.364441267112518,0.9259259259259258,390571000.0,40786000.0,794573000.0,0.23484144495444542
1605,,2025-12,7735198000000.0,5022903000000.0,4747158000000.0,3345830000000.0,541482000000.0,703264000000.0,4073.44,61.4,2011351000000.0,1135440000000.0,,393836000000.0,330.82,8.3,5.09,693893000000.0,-668734000000.0,-110730000000.0,-2620000000.0,168407000000.0,34.5,100.0,111412000000.0,90411000000.0,30.2,53.2,2.5,,1165392886,,,,,2712295000000.0,1244746000000.0,-2543888000000.0,
160A,,2025-03,21407641000.0,4162977000.0,4162977000.0,3015943000.0,1130068000.0,7262855000.0,1164.14,19.4,17917807000.0,1305131000.0,1350348000.0,956657000.0,269.74,22.98,4.47,775634000.0,-4645942000.0,4457529000.0,-4607719000.0,3485113000.0,4.33,55.0,115140000.0,,20.4,,5.6,,3576010,,,,,17244664000.0,8392923000.0,-13759551000.0,
165A,,2025-03,10739803000.0,7008197000.0,6614645000.0,6842821000.0,,,67.89,61.6,11424106000.0,2070093000.0,2069728000.0,1485925000.0,14.4,22.46,13.84,953194000.0,-391300000.0,-1626467000.0,-360000000.0,2504410000.0,8.34,7.2,583916000.0,1193740000.0,,80.3,10.7,,97431801,,,,,3731606000.0,,-1227196000.0,
1662,,2025-03,681598000000.0,557257000000.0,458791000000.0,445499000000.0,,,2062.21,77.4,389082000000.0,62012000000.0,64221000000.0,81153000000.0,314.91,15.38,11.91,130766000000.0,-107076000000.0,-38671000000.0,-78050000000.0,140931000000.0,33.61,55.0,15673000000.0,11029000000.0,,13.6,2.8,,222475402,,,,,124341000000.0,,16590000000.0,
1663,,2025-12,127773000000.0,108888000000.0,101107000000.0,80252000000.0,331000000.0,546000000.0,3945.3,82.4,91354000000.0,10594000000.0,11699000000.0,8379000000.0,313.99,7.96,6.56,15911000000.0,-13259000000.0,-1623000000.0,-8202000000.0,29857000000.0,17.42,54.0,1227000000.0,1000000.0,17.2,17.2,1.4,5240.0,25627201,134286533240.0,16.68842956782063,1.233253739989714,1.0305343511450382,18885000000.0,877000000.0,10972000000.0,0.08170588468756274
166A,,2025-09,83248712000.0,33005553000.0,31849026000.0,8484592000.0,10477225000.0,30057653000.0,518.09,38.4,74412166000.0,8815405000.0,7808949000.0,4933967000.0,90.99,15.45,5.93,-5770903000.0,-1718520000.0,19260213000.0,-1497897000.0,26201366000.0,-7.76,36.0,824380000.0,2092000.0,39.6,39.6,7.7,,61473925,,,,,50243159000.0,40534878000.0,-24041793000.0,
